TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;21,49;;-18,76;2,22;0,99;30,55;-0,34;-12,41;-678,8;-830,63;-151,83;0,5;2,33;-27,35;-1,2;0,83;-11,83;-5,26;-1,68;0,45;0,54;0,42;3,62;;8721372,2;9,68;-1,15;0,04;2542112616
ABCB4;18,27;7,65;5,16;0,79;0,07;35,76;27,56;19,63;3,68;3,68;;;1,01;1,1;-0,08;3,58;15,37;1,41;;0,09;0,91;0,07;13,58;13,36;19172999,23;23,02;3,54;0,13;4130666456
ABEV3;12,86;5,93;15,46;2,25;1,43;49,47;21,95;16,57;11,68;10,75;-0,93;-0,18;2,56;30,8;-2,02;1,19;14,52;9,22;17,86;0,63;0,36;0,56;9,82;0,86;531738141,6;5,73;0,83;-0,89;2,02548E+11
ADHM3;1,56;;-4,09;-1,29;105,12;100;-13548,48;-18860,61;-5,69;-5,69;0;;770,9;-1,43;-116,16;0;-31,47;-2571,9;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25439770,2
AERI3;1,17;1,77;-9,67;1,01;0,24;11,93;8,65;-3,76;4,2;7,74;3,54;0,85;0,36;0,71;-0,76;1,95;-10,48;-2,46;7,31;0,23;0,77;0,65;;;10893794,5;1,15;-0,12;0,04;896469743,5
AESB3;9,88;1,09;12,14;1,42;0,39;23,01;16,12;17,84;13,44;23,46;10,03;1,06;2,17;2,01;-0,54;3,63;11,73;3,24;-0,56;0,28;0,64;0,18;;;22188656,43;6,94;0,81;;5947041833
AFLT3;9,21;2,57;4,85;2,14;1,85;82,74;80,13;77,75;4,71;4,46;-0,25;-0,11;3,77;10,37;-2,47;3,4;44,1;38,05;43,2;0,86;0,14;0,49;30,86;52,99;6829,05;4,3;1,9;0,01;581010087
AGRO3;27,01;19,46;19,47;1,35;0,82;23,11;15,4;11,02;13,93;16,77;2,84;0,27;2,15;4,35;-1,32;1,99;6,92;4,22;4,74;0,61;0,39;0,38;59,78;39,06;11513890,77;20,04;1,39;-0,24;2765202986
AGXY3;9,42;1,78;-24,48;1,28;0,21;12,49;4,37;-0,61;3,44;6,25;2,81;1,05;0,15;8,62;-1,03;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;603061,17;7,35;-0,38;-0,02;1609171396
AHEB3;20;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,41;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;16351,2;-9,47;-3,87;0,11;170784028,3
